model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.02033,0.0194
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.02046,0.01975
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.021589,0.0206
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.024599,0.022567
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.027005,0.024433
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.033647,0.029133
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.044745,0.03685
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.058899,0.045117
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.070214,0.051867
beit-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.083628,0.059917
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.022592,0.021717
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.022394,0.0217
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.023978,0.0229
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.027704,0.0253
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030149,0.027117
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.036335,0.031717
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049243,0.040633
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.061614,0.048333
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.072689,0.054933
clip-vit-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.084171,0.0618
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.02322,0.022083
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023133,0.022283
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.024703,0.023317
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.02835,0.025367
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.031001,0.027683
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.037375,0.032517
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.050022,0.041517
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.063852,0.049567
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075765,0.056633
dino-v1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.088874,0.064883
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.026292,0.024217
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.026398,0.02455
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.027765,0.025533
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.031106,0.027633
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.034343,0.029917
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.04072,0.034633
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.054725,0.0437
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.065696,0.05055
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.076835,0.057067
dinov2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.091202,0.065483
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.024687,0.023967
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.024762,0.0242
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.025712,0.024967
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029227,0.027083
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.032214,0.029
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.038409,0.034067
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.052121,0.04325
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.063561,0.050417
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.073717,0.057017
dinov2-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.086465,0.065167
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.025438,0.023817
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.025347,0.023933
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026148,0.024683
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029678,0.02685
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.032848,0.029067
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.040312,0.03415
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.053589,0.042667
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.065811,0.0503
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.07666,0.057283
dinov2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.090223,0.065433
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.025135,0.023017
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.025308,0.0234
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026438,0.024183
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029827,0.0262
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.03268,0.028133
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.039516,0.03315
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.052233,0.04185
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.064516,0.049
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075271,0.0554
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.087819,0.06335
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.023426,0.021933
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023465,0.022233
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.024789,0.023233
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.027726,0.025017
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030707,0.026817
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.03723,0.031317
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049322,0.038683
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.060403,0.045417
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.070782,0.051933
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.084624,0.059817
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.02423,0.022233
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.024385,0.0225
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026005,0.0236
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029572,0.0257
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.032657,0.02795
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.038694,0.03255
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.051427,0.0414
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.063961,0.049483
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075936,0.056317
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.089705,0.064483
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.019714,0.017917
